GameState
###
Player:SIMON:0|4:576|2133:map5:
&&&
BornAnew:0:Born anew:true:false:2:
Maze:1:Maze:false:false:0:
ForestMystery:2:Forest Mystery:false:false:0:
CatchUpWithBill:3:Catch up with Bill:false:false:0:
OceanChest:4:Ocean Chest:false:false:0:
MedallionHandOver:5:End of the journey:false:false:0:
&&&
0
&&&
false
###
NPC:JOHN:100002:4.0:maze:751|89:villager2:stand:LEFT:0:
NPC:BLIGE:89957:4.0:map19:1037|174:villager3:wander_random:DOWN:0:
NPC:ICE:89953:4.0:map19:992|43:villager2:wander_random:DOWN:0:
NPC:LOGIC:89962:4.0:map19:2291|748:villager0:wander_random:LEFT:0:
NPC:BEY:89964:4.0:map19:2076|1038:villager3:wander_random:DOWN:0:
NPC:COLE:89967:4.0:map19:2622|1725:villager2:wander_random:DOWN:0:
NPC:DEAN:89731:4.0:map6:618|2048:villager2:stand:DOWN:0:
NPC:BELLETRIX:89734:4.0:map6:1348|1517:villager3:stand:DOWN:0:
NPC:SEAMUS:89719:4.0:map6:877|2177:villager0:wander_random:DOWN:0:
NPC:KINGSLEY:90141:4.0:map6:1629|2661:villager0:wander_random:DOWN:0:
NPC:MUNDUNGUS:90142:4.0:map6:2346|2653:villager2:wander_random:DOWN:0:
NPC:HERMIONE:89735:4.0:map6:509|2811:villager3:stand:LEFT:0:
NPC:HAGRID:89724:4.0:map6:1723|511:villager0:wander_random:DOWN:0:
NPC:FRED:89726:4.0:map6:2599|1347:villager2:wander_random:DOWN:0:
NPC:GEORGE:89727:4.0:map6:2917|286:villager2:wander_random:DOWN:0:
NPC:LILY:89741:4.0:map6:873|2819:villager3:stand:UP:0:
NPC:GOYLE:89730:4.0:map6:838|2506:villager2:stand:RIGHT:0:
NPC:CRABBE:89729:4.0:map6:907|2507:villager2:stand:LEFT:0:
NPC:PETER:89738:4.0:map6:743|2856:villager2:wander_random:DOWN:0:
NPC:DOLORES:90140:4.0:map6:2941|557:villager3:wander_random:DOWN:0:
NPC:REMUS:89723:4.0:map6:1514|1346:villager0:stand:DOWN:0:
NPC:GINNY:89733:4.0:map6:2656|1375:villager3:wander_random:DOWN:0:
NPC:ALBUS:89725:4.0:map6:1746|2251:villager0:stand:DOWN:0:
NPC:NEVILLE:89722:4.0:map6:2706|1886:villager0:wander_random:DOWN:0:
NPC:LUNA:89736:4.0:map6:827|2147:villager3:stand:DOWN:0:
NPC:JAMES:89737:4.0:map6:871|2774:villager0:stand:DOWN:0:
NPC:RON:89728:4.0:map6:475|2829:villager2:stand:UP:0:
NPC:RON:89718:4.0:map6:477|2785:villager0:stand:DOWN:0:
NPC:FUDGE:89732:4.0:map6:1939|2285:villager2:wander_random:DOWN:0:
NPC:SIRIUS:89721:4.0:map6:189|2722:villager0:stand:LEFT:0:
NPC:DRACO:89720:4.0:map6:873|2530:villager0:stand:UP:0:
NPC:CLAIR:90139:4.0:map5:769|2832:villager3:wander_random:UP:0:
NPC:TOCK:89711:4.0:map4:1198|1852:villager0:wander_random:DOWN:0:
NPC:DALE:90138:4.0:map4:2669|2152:villager2:wander_random:DOWN:0:
NPC:MANNY:89714:4.0:map4:341|2484:villager2:wander_random:DOWN:0:
NPC:KATE:89712:4.0:map4:619|2747:villager3:wander_random:DOWN:0:
NPC:TYRA:89713:4.0:map4:285|2477:villager3:wander_random:DOWN:0:
NPC:CLIDE:89715:4.0:map4:197|2106:villager0:wander_random:DOWN:0:
NPC:SMITE:89902:4.0:map16:1219|1047:villager2:wander_random:RIGHT:0:
NPC:OWNER:89896:4.0:map16:857|2675:villager3:wander_random:DOWN:0:
NPC:DRAY:89894:4.0:map16:479|1229:villager0:stand:UP:0:
NPC:SHOOPER:89893:4.0:map16:482|1173:villager2:stand:UP:0:
NPC:DREY:89898:4.0:map16:1957|1957:villager2:wander_random:DOWN:0:
NPC:CABI:89900:4.0:map16:2498|551:villager3:stand:DOWN:0:
NPC:RESPY:89895:4.0:map16:1297|2515:villager3:stand:UP:0:
NPC:AP:89901:4.0:map16:1973|487:villager0:wander_random:DOWN:0:
NPC:LAYTH:89903:4.0:map16:1621|1400:villager2:wander_random:UP:0:
NPC:TANGO:89891:4.0:map16:644|1765:villager0:wander_random:DOWN:0:
NPC:WOOD:89892:4.0:map16:847|2161:villager2:wander_random:DOWN:0:
NPC:SINNY:89897:4.0:map16:1621|1805:villager3:wander_random:DOWN:0:
NPC:LOOT:89899:4.0:map16:2843|2181:villager2:wander random:DOWN:0:
NPC:SHOPKEEP:89890:4.0:map16:483|1116:villager3:stand:DOWN:0:
NPC:BRIE:89884:4.0:map15:1937|1279:villager3:wander_random:LEFT:0:
NPC:PETER:89886:4.0:map15:847|915:villager0:wander_random:LEFT:0:
NPC:STARK:89883:4.0:map15:2556|1930:villager2:wander_random:UP:0:
NPC:CAP:89885:4.0:map15:1405|982:villager2:wander_random:DOWN:0:
NPC:THORINA:89882:4.0:map15:2639|2235:villager3:stand:LEFT:0:
NPC:THOR:89881:4.0:map15:2587|2235:villager0:stand:RIGHT:0:
NPC:SNOT:89887:4.0:map15:1185|1075:villager0:wander_random:DOWN:0:
NPC:POOP:89939:4.0:map18:1710|853:villager0:stand:UP:0:
NPC:LITGH:89950:4.0:map18:1655|1551:villager2:wander_random:DOWN:0:
NPC:DIA:89945:4.0:map18:1331|1306:villager3:wander_random:LEFT:0:
NPC:SMOOOT:89948:4.0:map18:2290|1186:villager0:wander_random:UP:0:
NPC:JEFF:89946:4.0:map18:822|1317:villager0:wander_random:RIGHT:0:
NPC:FRET:89952:4.0:map18:2833|1023:villager0:wander_random:LEFT:0:
NPC:SMASH:89940:4.0:map18:236|394:villager2:wander_random:DOWN:0:
NPC:MARQUE:89947:4.0:map18:1661|1088:villager0:wander_random:DOWN:0:
NPC:BRUCK:89951:4.0:map18:1977|1163:villager2:wander_random:LEFT:0:
NPC:CREEP:89943:4.0:map18:222|787:villager0:wander_random:DOWN:0:
NPC:PETRA:89935:4.0:map18:1713|816:villager3:stand:DOWN:0:
NPC:MOOOE:89934:4.0:map18:2403|818:villager3:stand:DOWN:0:
NPC:LAYTE:89936:4.0:map18:2190|937:villager3:stand:DOWN:0:
NPC:MAYDAY:89941:4.0:map18:233|1008:villager2:wander_random:DOWN:0:
NPC:BILLY:89938:4.0:map18:2194|970:villager2:stand:UP:0:
NPC:SWIFTY:89942:4.0:map18:283|439:villager3:wander_random:DOWN:0:
NPC:KAYKAY:89949:4.0:map18:2281|1515:villager0:wander_random:DOWN:0:
NPC:DREA:89944:4.0:map18:509|1429:villager3:wander_random:RIGHT:0:
NPC:TROOPER:89782:4.0:map9:2382|1285:villager3:stand:UP:0:
NPC:GROWER:89783:4.0:map9:1634|1967:villager0:stand:DOWN:0:
NPC:MANNY:89777:4.0:map9:324|139:villager0:stand:DOWN:0:
NPC:CHECKI:89786:4.0:map9:2781|2361:villager3:wander_random:DOWN:0:
NPC:GRANDI:89789:4.0:map9:605|1821:villager3:wander_random:DOWN:0:
NPC:SPIDE:89787:4.0:map9:2819|1739:villager2:wander_random:DOWN:0:
NPC:TEMPER:89784:4.0:map9:1605|1627:villager2:wander_random:DOWN:0:
NPC:default:89785:4.0:map9:1921|2497:villager3:wander_random:DOWN:0:
NPC:ASHER:89780:4.0:map9:2547|497:villager0:wander_random:DOWN:0:
NPC:WANDERINA:89779:4.0:map9:1596|503:villager3:wander_random:DOWN:0:
NPC:TINKE:89788:4.0:map9:65|2559:villager2:wander_random:DOWN:0:
NPC:LOOPER:89781:4.0:map9:2381|1247:villager0:stand:DOWN:0:
NPC:WANDERER:89778:4.0:map9:607|329:villager2:wander_random:RIGHT:0:
NPC:WINNY:89905:4.0:map17:769|2615:villager3:stand:RIGHT:0:
NPC:CREATURE:89921:4.0:map17:1379|1040:villager2:wander_random:DOWN:0:
NPC:CROOK:89931:4.0:map17:2935|1353:villager2:wander_random:RIGHT:0:
NPC:MYSTERY:89923:4.0:map17:163|1097:villager3:wander_random:DOWN:0:
NPC:MIST:89924:4.0:map17:329|1335:villager2:wander_random:RIGHT:0:
NPC:COOP:89926:4.0:map17:2092|1164:villager0:wander_random:DOWN:0:
NPC:TRAIE:89906:4.0:map17:834|2615:villager2:stand:LEFT:0:
NPC:DANGER:89928:4.0:map17:2957|55:villager3:wander_random:DOWN:0:
NPC:WANDE:89925:4.0:map17:1469|1363:villager0:wander_random:RIGHT:0:
NPC:TWINNY:89904:4.0:map17:804|2600:villager3:stand:DOWN:0:
NPC:URSULA:89911:4.0:map17:177|2511:villager3:wander_random:DOWN:0:
NPC:KRAKE:89922:4.0:map17:1441|801:villager2:wander_random:DOWN:0:
NPC:SWEILL:89915:4.0:map17:2118|1735:villager3:wander_random:UP:0:
NPC:WOOT:89914:4.0:map17:2141|1875:villager2:wander_random:DOWN:0:
NPC:BRAD:89908:4.0:map17:653|2596:villager0:stand:DOWN:0:
NPC:TROOOA:89907:4.0:map17:803|2639:villager0:stand:UP:0:
NPC:LUNEY:89932:4.0:map17:2464|1377:villager3:wander_random:LEFT:0:
NPC:URSY:89912:4.0:map17:570|2941:villager3:wander_random:RIGHT:0:
NPC:SWAG:89920:4.0:map17:765|605:villager2:wander_random:DOWN:0:
NPC:WAIL:89913:4.0:map17:2102|2882:villager0:wander_random:DOWN:0:
NPC:DOBBY:89918:4.0:map17:1059|864:villager0:wander_random:RIGHT:0:
NPC:TRYTE:89927:4.0:map17:2681|465:villager3:wander_random:DOWN:0:
NPC:PUMPY:89917:4.0:map17:491|516:villager0:stand:LEFT:0:
NPC:KAPLE:89919:4.0:map17:1047|547:villager0:wander_random:DOWN:0:
NPC:JP:89930:4.0:map17:2223|520:villager2:stand:DOWN:0:
NPC:SMOOTHER:89772:4.0:map8:225|1767:villager0:wander_random:DOWN:0:
NPC:ERIDINA:89768:4.0:map8:609|483:villager3:wander_random:UP:0:
NPC:TANK:89770:4.0:map8:2299|540:villager0:wander_random:LEFT:0:
NPC:SHARON:89775:4.0:map8:1913|504:villager2:wander_random:DOWN:0:
NPC:LORD JOFFREY:89742:4.0:map8:1307|476:villager1:stand:DOWN:1:
NPC:SIMONA:89769:4.0:map8:1030|186:villager3:wander_random:DOWN:0:
NPC:KAY:89776:4.0:map8:539|1309:villager2:wander_random:DOWN:0:
NPC:TYRELL:89767:4.0:map8:2187|1775:villager2:stand:UP:0:
NPC:RAY:89773:4.0:map8:383|1647:villager2:stand:UP:0:
NPC:SUCKA:89771:4.0:map8:2314|207:villager0:stand:UP:0:
NPC:MIKE:89774:4.0:map8:1439|1424:villager2:wander_random:DOWN:0:
NPC:KYLIE:90029:4.0:map23:122|1578:villager3:wander_random:DOWN:0:
NPC:MELLY:90031:4.0:map23:1601|1230:villager3:wander_random:DOWN:0:
NPC:SMYCE:90030:4.0:map23:797|1296:villager3:wander_random:DOWN:0:
NPC:BOULD:90039:4.0:map23:2945|886:villager0:wander_random:DOWN:0:
NPC:SOL:90026:4.0:map23:783|2267:villager2:wander_random:RIGHT:0:
NPC:RIDDLE:90028:4.0:map23:1511|1742:villager2:wander_random:DOWN:0:
NPC:default:90032:4.0:map23:1775|1013:villager3:stand:DOWN:0:
NPC:WENGER:90038:4.0:map23:2483|1479:villager0:wander_random:DOWN:0:
NPC:SHKODRAN:90041:4.0:map23:1591|479:villager0:stand:DOWN:0:
NPC:PAT:90040:4.0:map23:2511|1184:villager0:wander_random:DOWN:0:
NPC:SOARES:90024:4.0:map23:1207|2171:villager0:wander_random:LEFT:0:
NPC:SMELLY:90034:4.0:map23:1890|1303:villager3:wander_random:DOWN:0:
NPC:OLIVIER:90042:4.0:map23:2289|143:villager2:wander_random:DOWN:0:
NPC:VICTOR:90023:4.0:map23:522|2179:villager0:stand:DOWN:0:
NPC:SLUGE:90033:4.0:map23:1505|1581:villager3:wander_random:DOWN:0:
NPC:TAVARES:90036:4.0:map23:2832|1835:villager2:wander_random:DOWN:0:
NPC:LUCIOUS:90027:4.0:map23:1249|1957:villager2:wander_random:DOWN:0:
NPC:HELGA:90025:4.0:map23:983|1878:villager3:wander_random:DOWN:0:
NPC:TIERNEY:90035:4.0:map23:2907|2160:villager2:wander_random:DOWN:0:
NPC:KIERAN:90037:4.0:map23:2500|1901:villager2:wander_random:DOWN:0:
NPC:GRANIT:90018:4.0:map22:2121|1005:villager0:wander_random:DOWN:0:
NPC:RILEDY:90021:4.0:map22:2898|421:villager3:wander_random:DOWN:0:
NPC:VIED:90009:4.0:map22:1034|2728:villager2:stand:DOWN:0:
NPC:AARON:90010:4.0:map22:1235|2383:villager0:wander_random:RIGHT:0:
NPC:CLAES:90020:4.0:map22:2602|1605:villager0:wander_random:DOWN:0:
NPC:KRASCH:90014:4.0:map22:2226|1565:villager2:wander_random:DOWN:0:
NPC:FAIED:90006:4.0:map22:294|1247:villager0:wander_random:DOWN:0:
NPC:KRUM:90022:4.0:map22:2521|375:villager0:wander_random:DOWN:0:
NPC:LIGTES:90013:4.0:map22:1787|1769:villager2:wander_random:DOWN:0:
NPC:CHLOE:90002:4.0:map22:479|246:villager3:wander_random:DOWN:0:
NPC:JIMMAY:90004:4.0:map22:1353|761:villager2:stand:DOWN:0:
NPC:SLAET:90008:4.0:map22:1048|1533:villager2:wander_random:DOWN:0:
NPC:PLANTY:90012:4.0:map22:2455|1379:villager3:stand:RIGHT:0:
NPC:AREZOO:90007:4.0:map22:648|1691:villager3:wander_random:DOWN:0:
NPC:SLAMY:90003:4.0:map22:1170|535:villager3:wander_random:DOWN:0:
NPC:ERIK:90019:4.0:map22:2900|1577:villager0:wander_random:DOWN:0:
NPC:FLESHIE:90017:4.0:map22:2103|609:villager3:wander_random:DOWN:0:
NPC:HIIGAS:90016:4.0:map22:2153|317:villager3:wander_random:DOWN:0:
NPC:TREAY:90005:4.0:map22:407|767:villager0:wander_random:DOWN:0:
NPC:RAMSEY:90011:4.0:map22:1443|2077:villager0:wander_random:UP:0:
NPC:HOOGAES:90015:4.0:map22:2115|53:villager2:wander_random:DOWN:0:
NPC:SHAKUR:90135:4.0:map25:635|370:villager2:wander_random:DOWN:0:
NPC:NOTORIOUS:90132:4.0:map25:1407|286:villager3:wander_random:DOWN:0:
NPC:XAVIER:90133:4.0:map25:1673|161:villager0:wander_random:DOWN:0:
NPC:BROM:90134:4.0:map25:185|565:villager2:wander_random:DOWN:0:
NPC:XHAKIE:90131:4.0:map25:2271|45:villager3:wander_random:DOWN:0:
NPC:ABOUDINA:90128:4.0:map24:2949|567:villager3:wander_random:DOWN:0:
NPC:HECTOR:90089:4.0:map24:733|1079:villager2:wander_random:DOWN:0:
NPC:BERND:90101:4.0:map24:813|1355:villager0:stand:UP:0:
NPC:ROGER:90125:4.0:map24:1239|2089:villager0:wander_random:DOWN:0:
NPC:CLITTY:90079:4.0:map24:819|1282:villager3:stand:DOWN:0:
NPC:SANTI:90127:4.0:map24:2871|1797:villager2:wander_random:DOWN:0:
NPC:FREDDIE:90105:4.0:map24:1020|969:villager2:stand:UP:0:
NPC:CLICEI:90113:4.0:map24:1120|470:villager3:wander_random:DOWN:0:
NPC:DENNIS:90103:4.0:map24:412|955:villager0:stand:UP:0:
NPC:FLYTE:90118:4.0:map24:245|325:villager2:wander_random:DOWN:0:
NPC:IAN:90102:4.0:map24:587|961:villager0:stand:UP:0:
NPC:HILDERU:90097:4.0:map24:604|1346:villager3:stand:UP:0:
NPC:REISS:90115:4.0:map24:1315|659:villager2:wander_random:DOWN:0:
NPC:SLICKY:90082:4.0:map24:1020|895:villager0:stand:DOWN:0:
NPC:CHILEA:90073:4.0:map24:1951|1029:villager3:wander_random:DOWN:0:
NPC:ROCKY:90104:4.0:map24:589|1006:villager2:stand:UP:0:
NPC:JACK:90126:4.0:map24:2346|1689:villager0:wander_random:DOWN:0:
NPC:PAUL:90062:4.0:map24:2127|1370:villager0:stand:RIGHT:0:
NPC:NEAL:90088:4.0:map24:1281|1259:villager2:wander_random:DOWN:0:
NPC:PEP:90092:4.0:map24:719|664:villager0:wander_random:DOWN:0:
NPC:ANTHONY:90068:4.0:map24:1581|1038:villager2:wander_random:DOWN:0:
NPC:MINERVA:90112:4.0:map24:1656|610:villager3:stand:LEFT:0:
NPC:RAFA:90124:4.0:map24:617|2251:villager2:wander_random:DOWN:0:
NPC:NOOSHI:90096:4.0:map24:526|1047:villager3:wander_random:DOWN:0:
NPC:KOMAKO:90121:4.0:map24:938|605:villager0:stand:DOWN:0:
